Feature,Importance
950ws,31.701180616608497
i10fg,18.731204564764543
975ws,18.004349291696492
zust,11.206267462538582
100ws,10.746998485176512
100alpha,9.01620089287226
ishf,7.763862513163351
2mtempgrad,6.431320451164187
blh,6.344592804269019
950wsgrad,5.842685356343355
10ws,5.505711631632241
975wsgrad,4.43142828661371
975tempgrad,3.6488975722759696
t_950,2.1718488450215854
t_975,1.7973884725349827
skt,1.6138158790800041
t2m,1.0155074645661846
bld,0.8841196063967715
cin,0.7412097584388018
d2m,0.723089507270411
sinJDAY,0.5420059357890625
950tempgrad,0.5253066026180913
stl1,0.4909105897484346
msl,0.4189058095139272
dewtempsprd,0.318284936789903
cosJDAY,0.21003306859864815
lcc,0.10672673528676804
sktempgrad,0.10065792797035304
cbh,0.07907974152663985
tcc,0.026271415481125354
ie,0.0006179779560716797
cosHR,-0.03146339075444692
cape,-0.0487574987837405
sinHR,-0.10178491523653721
